	ART_C_PROD_NUMBER	ART_V_ART_DESCRIPTION
129	7547	7547.1 Yarrah Bio Chunks 6 x 405 g - Huhn & Rind mit Brennnesseln & Tomaten
130	7547	7547.2 Yarrah Bio Chunks 6 x 405 g - Huhn & Truthahn mit Brennnesseln & Tomaten
131	592313	592313.0 Schmusy Nature Meeres-Fisch 24 x 100g - Thunfisch Pur
132	612257	612257.0 4 x 15 g DREAMIES Huhn - Jetzt gratis kennenlernen!
133	262958	262958.1 Vitakraft Cat Liquid-Snack mit Lachs + Omega 3 - 24 x 15 g
134	576862	576862.19 10 + 2 gratis! 12 x 70 g oder 12 x 55 g Almo Nature Label - Rouge Label Thunfisch & Seezungenfilet ( 12 x 55 g)
135	609228	609228.1 Miamor Cat Snack Lachs-Cream - 24 x 15 g
136	477145	477145.0 Trixie Ø 6 cm Gummiball mit Schnur - Für Ihre Bonuspunkte!
137	592421	592421.0 Animonda Integra Protect Adult Sensitive Schale 6 x 100 g - Lamm & Reis
139	439918	439918.8 Sparpaket MAC´s Cat Feinschmecker 12 x 100 g - Mix Ente/Kaninchen, Kalb/Geflügel (2 Sorten)
140	279474	279474.0 Megapack Gourmet A la Carte 24 x 85 g - Hochseefisch
141	549746	549746.9 Gourmet Gold Raffiniertes Ragout 12 x 85 g - Thunfisch
142	462090	462090.1 Applaws Cat Tuna Loin - Sparpaket: 3 x 30 g
143	603240	603240.0 Cosma snackies XXL Maxi Tube - gefriergetrocknete Katzensnacks - Hühnchen 200 g
144	613697	613697.9 10 + 2 gratis! 12 x 400 g Exclusion Diet - Pferd & Kartoffel
145	388640	388640.3 Leonardo Finest Selection Pouch 6 x 85 g - Fleisch Menü
146	153279	153279.5 Dokas Fleischsnack (semi-moist) - Entenstreifen 3 x 70 g
147	437715	437715.3 Probierset: Purizon 400 g  & Cosma Nature 6 x 70 g - Set 1: Purizon Adult Huhn & Fisch
148	542049	542049.0 Katzenspielzeug Funny Ball - Für Ihre Bonuspunkte!
149	169477	169477.16 Feliway Classic - Sparset: 2 Nachfüllflakons à 48 ml
153	407572	407572.23 RINTI Gold 12 x 185 g - Lammstückchen
154	407572	407572.27 RINTI Gold 12 x 185 g - Entenherzen
155	442820	442820.6 Sparpaket Feringa Menü Duo-Sorten 12 x 200 g - gemischtes Paket III (Fisch-Sorten)
157	619562	619562.6 Gourmet Soup 4 x 40 g - Thunfisch & Gemüse
158	343818	343818.3 Kratzbaum Knusperhäuschen XXL mit Leiter - hellgrau mit Leiter (2 Pakete*)
160	276990	276990.2 Sparpaket Gourmet Gold Eiersoufflé 24 x 85 g - je 12 x 85 g Lachs und Huhn
161	472005	472005.8 Mix-Paket Wolf of Wilderness Adult - 6 x 400 g
162	607056	607056.6 10 + 2 gratis! Testbox Fleischeslust - gemischte Box: 10 x 400 g Würste + 2 x 200 g Snack gratis!
163	226521	226521.4 Tigeria Sticklettis - Ente 3 x 50 g
164	439801	439801.4 Sparpaket MAC´s Cat 12 x 400 g - Ente, Pute, Huhn
165	526639	526639.10 Sparpaket Animonda Carny Adult 24 x 400 g - Rind & Huhn
166	274103	274103.3 Probierpaket Animonda Carny Adult 6 x 800 g - Mix Rind & Geflügel
167	464831	"464831.2 Wolf of Wilderness Adult ""Wild Hills"" - Ente - 400 g zum Probierpreis"
168	390457	390457.3 5 + 1 gratis! Lukullus Naturkost Gemischte Pakete - 6 x 200 g
169	574863	574863.0 RINTI Chicko Plus Mintblättchen mit Huhn - 80 g
170	574867	574867.1 RINTI Chicko Plus Hähnchenschenkel mit Calcium - 3 x 80 g
171	171006	171006.8 Rinti Extra Chicko Huhn - 900 g
172	320715	320715.6 Terra Canis Getreidefrei 1 x 400 g - Wild mit Kartoffeln, Apfel und Preiselbeeren
173	326393	326393.27 Sparpaket Rinti Gold 24 x 185 g - Mix Geflügelherzen, Huhnstückchen
174	569169	569169.3 Katzenspielzeug Igel und Schaf Moppi mit Katzenminze - Für Ihre Bonuspunkte!
175	234711	234711.3 Bozita Feline Diet & Stomach - Sensitive - 10 kg
176	622748	622748.2 Smilla Katzenpaste 50 g - Multi-Vitamin
177	529963	529963.13 Sparpaket GimCat ShinyCat Filet Dose 24 x 70 g - Thunfisch & Hühnchen Mix
179	605906	605906.2 Animonda Milchsnacks im Mixpaket! - 3 x 30 g Knuspertaschen Dental Care
180	593511	593511.3 Sparpaket catz finefood Mousse 24 x 100 g - Mixpaket Geflüge & Fisch (6 Sorten)
181	9787	9787.7 Markus-Mühle NaturNahfutter - Sparpaket: 2 x 15 kg
182	439801	439801.5 Sparpaket MAC´s Cat 12 x 400 g - Rind & Hühnerherzen
186	305152	305152.8 Terra Canis 1 x 400 g - Kalb mit Hirse, Gurke, gelber Melone & Bärlauch
187	622748	622748.3 Smilla Katzenpaste 50 g - Malt
188	485516	485516.0 KONG Huggz Hedgehog - 1 Stück
189	525558	525558.0 Rocco Chings - Hühnerbrust in Streifen 250 g
190	315351	315351.0 KONG Cozie Ali - 1 Stück
191	476401	476401.0 70 g Dokas Kausnack Hühnerbrust mit Fisch - Für Ihre Bonuspunkte!
192	216852	216852.5 Chewies Mini Knöchelchen Kausnacks (semi-moist) - Lachs 3 x 125 g 
193	556050	556050.0 Vitakraft Treaties Bits Leberwurst - 120 g
194	590863	590863.0 catz finefood Meatz - N°3 Huhn 45 g
195	554599	554599.41 Schesir Katzenfutter Einzeldosen 1 x 70 g / 75 g / 85 g - in Brühe: 70 g Thunfisch mit Karotten
198	7528	7528.2 Animonda vom Feinsten Kitten 6 x 100 g - mit Lamm
199	414151	414151.0 Katzenspielzeug Insekt - 1 Stück
200	480811	480811.4 6 x 370 g Bozita Häppchen im Mixpaket -  Mix Gelee: Schellfisch, Makrele, Lachs/Muscheln, Meereskrebs
205	435937	435937.1 5 + 1 gratis! 6 x 70 g Cosma Nature - Hühnerbrust & Shrimps
206	10759	10759.0 Rinti Kennerfleisch Senior 6 x 400 g - Huhn
207	592337	592337.0 Animonda Integra Protect Adult Adipositas Schale 6 x 100 g - mit Huhn
209	324342	324342.5 250 g Hill's Feline Adult Oral Care - Für Ihre Bonuspunkte!
210	206645	206645.7 Hill's Prescription Diet i/d Digestive Care Katzenfutter mit Huhn - 48 x 85 g
211	548315	548315.6 Gemischtes Probierpaket Rocco Chings - 3 verschiedene Sorten (670 g)
215	619370	"619370.2 4 kg Wolf of Wilderness Trockenfutter zum Sonderpreis - Adult ""Green Fields"" - Lamm"
216	525558	525558.2 Rocco Chings - Entenbrust 170 g
217	552740	"552740.3 Wolf of Wilderness ""Wild Hills"" - Ente zum Probierpreis - 400 g"
219	619370	"619370.5 4 kg Wolf of Wilderness Trockenfutter zum Sonderpreis - Adult ""Blue River"" - Lachs"
220	425048	425048.1 Dibo gefüllter Markknochen - Sparpaket: 3 Stück
221	175517	175517.1 Cosma snackies - gefriergetrocknete Katzensnacks - Ente 21 g
222	10350	10350.16 Animonda Carny Adult 6 x 400 g - Rind, Pute & Kaninchen
223	10350	10350.10 Animonda Carny Adult 6 x 400 g - Rind & Huhn
224	520706	520706.2 1,5 kg + 500 g gratis! 2 kg Hill's Ideal Balance! - Adult Huhn & Reis
225	222247	222247.4 Hundemantel Illume Nite Neon - ca. 50 cm Rückenlänge
226	611869	611869.7 400 g Rinti Kennerfleisch Pansen - Für Ihre Bonuspunkte!
227	403719	403719.2 Smilla Multi-Vitamin Katzenpaste - 50 g
228	10350	10350.11 Animonda Carny Adult 6 x 400 g - Rind & Herz
229	174338	174338.9 Megapack Gourmet Perle 24 x 85 g - Erlesene Streifen mit Thunfisch
230	174338	174338.10 Megapack Gourmet Perle 24 x 85 g - Erlesene Streifen mit Truthahn
231	174338	174338.12 Megapack Gourmet Perle 24 x 85 g - Duetto di Mare Sardine & Thunfisch
233	567917	567917.2 Bosch Adult Lamm &amp; Reis - Sparpaket: 2 x 15 kg
234	175517	175517.0 Cosma snackies - gefriergetrocknete Katzensnacks - Hühnchen 26 g
235	7556	7556.0 Yarrah Bio Pâté  6 x 400 g - Huhn
236	4912	4912.14 Royal Canin Persian Adult - 400 g
237	1403	1403.5 Federwedel - 3 Stück
238	469516	469516.0 Applaws Probiermix 2 x 400 g - Mix Huhn + Huhn/Lachs
241	497307	497307.3 Concept for Life Indoor Cats - 10 kg
242	72634	72634.1 Fresh Flow Deluxe Trinkbrunnen - Ersatzfilter (2 Stück) 
243	561609	"561609.3 Felix ""So gut wie es aussieht"" Pouches 88 x 100 g - Huhn, Rind, Thunfisch, Lachs"
244	561609	"561609.4 Felix ""So gut wie es aussieht"" Pouches 88 x 100 g - Huhn, Rind, Ente, Lamm, Thunfisch, Lachs"
245	597294	597294.3 10 + 2 gratis! 12 x 100 g Animonda Integra Protect Adult - Sensitive Huhn Pur
248	607132	607132.1 10 + 2 gratis! 12 x 85 g Whiskas Ragout Pouches - Fischauswahl in Gelee
249	524692	524692.6 1 + 1 gratis! 2 x 400 g Concept for Life Katzentrockenfutter - Maine Coon
250	19401	19401.0 Golden Grey Master Katzenstreu - 14 kg
251	557861	557861.1 Stuzzy Dog Monoprotein 6 x 400 g - Huhn
252	459832	459832.0 8in1 Minis Selection 4 Sorten - 4 x 100 g
253	557861	557861.2 Stuzzy Dog Monoprotein 6 x 400 g - Rind
254	564091	564091.11 Sparpaket MAC´s Cat 24 x 800 g - Mix Lachs/Hühnchen, Ente/Pute/Huhn (2 Sorten)
255	562436	562436.2 Julius-K9 IDC®-Powergeschirr - aquamarine - Größe Mini Mini: Brustumfang 40 - 53 cm
256	507949	507949.5 36 + 12 gratis! 48 x 100 g  Whiskas 1+ Frischebeutel -  1+ Fleischauswahl in Sauce
257	569562	569562.3 1 x 70 g Almo Nature Legend - Huhn und Leber - Für Ihre Bonuspunkte!
258	554599	554599.48 Schesir Katzenfutter Einzeldosen 1 x 70 g / 75 g / 85 g - in Gelee: 85 g Thunfisch mit Schinken
259	396020	396020.5 2-fach Bonuspunkte: 5 Tuben Cosma snackies - 5 x Hühnchen (130 g)
260	464831	"464831.4 Wolf of Wilderness Adult ""Wild Hills"" - Ente - Doppelpack 2 x 12 kg"
261	476632	476632.0 Pro Plan Sterilised 6 x 85 g - Huhn
262	464885	464885.0 Schmusy Nature Vollwertflakes Mix - 12 x 100 g
263	477937	477937.0 Feringa Frischebeutel 12 x 85 g - gemischtes Paket I (6 Sorten)
264	476502	476502.1 Pro Plan Delicate 6 x 85 g - Truthahn
265	476502	476502.0 Pro Plan Delicate 6 x 85 g - Ozeanfisch
266	145141	145141.5 Lucky-Kitty Keramik Trinkbrunnen - Schlauch-Set
267	439801	439801.2 Sparpaket MAC´s Cat 12 x 400 g - Lachs & Huhn
269	439801	439801.0 Sparpaket MAC´s Cat 12 x 400 g - Geflügel & Cranberry
271	405386	405386.5 6 x 85 g Mixpaket: Cosma Jelly - Für Ihre Bonuspunkte!
272	437457	437457.1 GranataPet Feini Sticks Hühnchen - Sparpaket: 3 x 3er Pack
273	439801	439801.3 Sparpaket MAC´s Cat 12 x 400 g - Kalb & Pute
274	552699	552699.25 Kombipaket: Hill's Prescription Diet Canine - i/d  Digestive Care
275	189450	189450.5 Yummeez Knöchelchen (semi-moist) - 4 x 175 g Wild
276	189450	189450.7 Yummeez Knöchelchen (semi-moist) - 4 x 175 g Lachs
277	414478	414478.2 Vitakraft CHICKEN Hühnchenfilet XXL - Sparpaket: 4 x 250 g
279	412375	412375.16 Almo Nature Legend 1 x 70 g - Thunfisch, Huhn & Käse
280	585013	585013.0 Biokat's Classic 3in1 - 10 l
283	326393	326393.28 Sparpaket Rinti Gold 24 x 185 g - Mix Geflügelherzen, Kalbstückchen
285	35611	35611.22 Rinti Extra Chicko - Ente Maxi Streifen (250g)
286	305152	305152.0 Terra Canis 1 x 400 g - Rind mit Karotte, Apfel und Naturreis
287	378049	378049.1 Trixie Hundespielzeug Spieltau 37 cm - Für Ihre Bonuspunkte!
290	551227	551227.0 O'Canis for Cats Probierpaket 5 Sorten - 6 x 400 g
291	437422	437422.5 Sparpaket O´Canis for Cats 12 x 400 g - passende Dosendeckel (3er Set, Ø 7,5 cm)
292	634149	634149.7 14 + 4 gratis! 18 x 50 g Gourmet Mon Petit - mit Geflügel
293	373367	373367.3 GranataPet DeliCatessen Probierpaket 6 x 400 g - Probierpaket II PUR 
294	577604	577604.8 1 + 1 gratis! 2 x 400 g Lukullus Naturkost - Kaninchen & Wild
295	621765	621765.4 Knallerangebot: 1 x Rocco Chings Double 200 g für nur 2 € - Huhn & Leber
296	493661	493661.2 Gemischtes Probierpaket Rocco Classic 6 x 400 g - Mix: Rind pur, Huhn, Rentier, Geflügelherzen, Lachs & Wild
297	555232	555232.6 12 x 70 g Mixpakete Almo Nature Sensibilität - Almo Nature Anti Hairball & Sensitive mit Huhn
299	540134	540134.3 Sparpaket Cat's Best 2 x 8 / 10 / 20 L - Green Power (2 x 8 l)
300	379076	379076.0 1 + 1 gratis! 2 x Cosma snackies - 2 x Hühnchen 26 g
301	443656	443656.0 10 + 2 gratis! 12 x 140 g Cosma Nature - Hühnchenfilet
302	379076	379076.4 1 + 1 gratis! 2 x Cosma snackies - 2 x Hühnchen XXL Stückchen 60 g
303	379076	379076.2 1 + 1 gratis! 2 x Cosma snackies - 2 x Rind 23 g
307	584138	584138.3 5 + 1 gratis! 6 x 800 g Animonda Carny Adult - Kreationen mit Rind - 3 Sorten im Mix
308	441606	441606.0 Porta 21 Probiermix 6 x 90 g - Mixpaket Thunfisch
310	379076	379076.1 1 + 1 gratis! 2 x Cosma snackies - 2 x Ente 21 g
311	10052	10052.6 Miamor Ragout Royale in Jelly 22 x 100 g - Thunfisch
312	7344	7344.17 Royal Canin Light Weight Care - 400 g NICHT AKTIVIEREN
313	480811	480811.1 6 x 370 g Bozita Häppchen im Mixpaket - Mix Soße: Lachs, Hühnchen/Pute, Garnelen
316	480811	480811.0 6 x 370 g Bozita Häppchen im Mixpaket - Mix Soße: Rentier, Kaninchen, Rind
319	136978	136978.0 SureFlap Mikrochip Katzenklappe - Sureflap weiß
320	199736	199736.2 Rocco Rinderpansen grün - 2500 g
321	461272	461272.1 Belcando Adult Grain-free Ocean - 12,5 kg
323	168654	168654.5 Porta 21 Feline Finest Sensible - Grain Free - Sparpaket: 2 x 10 kg
324	576062	576062.0 Trixie Leuchtball USB - 1 Stück Ø 6 cm
326	397041	"397041.3 Felix ""So gut wie es aussieht"" Pouches 44 x 100 g - Huhn, Rind, Thunfisch, Lachs"
327	528265	528265.4 Sparpaket Golden Katzenstreu 2 x 14 kg - Golden Odour
328	277004	277004.2 Sparpaket Gourmet Gold Feine Pastete 24 x 85 g - Thunfisch
329	459591	459591.0 Hill's Science Plan Adult 1-6 Perfect Weight Huhn - 3 kg
330	489507	489507.5 Happy Cat Adult Sterilised - 4 kg
331	569827	569827.4 3 kg Concept for Life Katzennahrung zum Sonderpreis! - Sterilised Cats
332	572569	572569.2 80 g Probiergröße Concept for Life Trockennahrung - Mini Adult
334	10346	10346.5 Animonda Carny Kitten 6 x 200 g - Rind & Putenherzen
335	408962	408962.1 Einmaliges Probierangebot! Cosma Snackies jetzt für 2 € - Hühnchen XXL 30 g
336	557971	557971.5 Probier-Mixpaket Gourmet 4 x 85 g - Gold: Zarte Häppchen
337	199688	199688.1 Rocco Rinderohren natur - 100 Stück
340	408962	408962.0 Einmaliges Probierangebot! Cosma Snackies jetzt für 2 € - Hühnchen 26 g
341	7487	7487.4 Miamor Milde Mahlzeit 6 x 100 g - Geflügel Pur & Forelle
342	567417	567417.0 Probierpaket 300 g MIAMOR Feine Bissen - Thunfisch
343	409738	409738.2 Probierangebot: Purizon 400 g - Adult Lamm & Fisch
344	437184	437184.0 Probierpreis: 400 g Feringa Trockenfutter - Adult Ente
345	610148	610148.0 3 + 1 gratis! 4 x 85 g IAMS Naturally Cat Adult Mix - Adult Mix
347	390693	390693.2 Probiermix Gourmet Gold Vielfalt 4 x 85 g - Feine Komposition
350	277000	277000.1 Gourmet Gold Feine Pastete 12 x 85 g - Rind 
351	277000	277000.3 Gourmet Gold Feine Pastete 12 x 85 g - Truthahn
352	4904	4904.16 Royal Canin Sensible 33 - 400 g
353	174338	174338.2 Megapack Gourmet Perle 24 x 85 g - Erlesene Streifen mit Kaninchen
356	346668	346668.0 Gourmet Gold Terrine 12  x 85 g - Huhn
357	228728	228728.12 Royal Canin Ageing +12 - 400 g
358	174338	174338.11 Megapack Gourmet Perle 24 x 85 g -  Duetto di Mare Lachs & Seelachs
359	388475	388475.1 Leonardo All Meat 6 x 400 g - Reich an Kaninchen
360	388475	388475.3 Leonardo All Meat 6 x 400 g - Reich an Leber
362	478267	478267.7 5 + 1 gratis! 6 x 800 g Wolf of Wilderness Adult/ Junior/ Senior - Adult Oak Woods - Wildschwein
364	478267	478267.6 5 + 1 gratis! 6 x 800 g Wolf of Wilderness Adult/ Junior/ Senior - Adult Wild Hills - Ente
365	478267	478267.8 5 + 1 gratis! 6 x 800 g Wolf of Wilderness Adult/ Junior/ Senior - Adult Arctic Spirit - Rentier
366	569003	569003.9 4 kg Kattovit + 6 x 85 g Kattovit Pouch gratis! - Sensitive
368	511787	"511787.0 1 kg Wolf of Wilderness ""Green Fields"" - Lamm - Für Ihre Bonuspunkte!"
369	197470	197470.7 Royal Canin Rottweiler Junior - Sparpaket: 2 x 12 kg
370	597616	597616.1 Dreamies Selection Box (Huhn, Käse, Lachs, Rind) - 16 x 30 g im Sparpaket
371	403719	403719.0 Smilla Multi-Vitamin Katzenpaste - 200 g
372	3187	3187.13 Cat's Best Original Katzenstreu - 40 l (2 x 20 l als Ersatz für die vergriffene 40 l Größe)
373	443493	443493.1 zoolove Probierbox Katzennassfutter: Hühnchen und Thunfisch - 9 x 70 g
374	3187	3187.1 Cat's Best Original Katzenstreu - 40 l (ca. 17,2 kg)
